Date,Hour,Name,State,UserActivity
20200101,28800,SensorBaseBox,False,
20200101,28800,SensorArmario (2),False,
20200101,28800,SensorCama,False,
20200101,28800,SensorFogao,False,
20200101,28800,SensorMesaJantar (4),False,
20200101,28800,SensorCama (4),False,
20200101,28800,SensorMesaJantar (3),False,
20200101,28800,SensorCama (5),False,
20200101,28800,SensorMesaJantar,False,
20200101,28800,SensorCama (2),False,
20200101,28800,SensorSofa (1),False,
20200101,28800,SensorPia,False,
20200101,28800,SensorMesaJantar (2),False,
20200101,28800,SensorRack,False,
20200101,28800,SensorCama (1),False,
20200101,28800,SensorArmario,True,
20200101,28800,SensorRack (1),False,
20200101,28800,SensorArmario (1),True,
20200101,28800,SensorGeladeira,False,
20200101,28800,SensorMesaJantar (1),False,
20200101,28800,SensorSofa (2),False,
20200101,28800,SensorCama (3),False,
20200101,28800,SensorMesaCorredor,False,
20200101,28800,SensorSofa,False,
20200101,28800,SensorDeTestes,False,
20200101,28802,SensorBaseBox,False,
20200101,28802,SensorArmario (2),False,
20200101,28802,SensorCama,False,
20200101,28802,SensorFogao,False,
20200101,28802,SensorMesaJantar (4),False,
20200101,28802,SensorCama (4),False,
20200101,28802,SensorMesaJantar (3),False,
20200101,28802,SensorCama (5),False,
20200101,28802,SensorMesaJantar,False,
20200101,28802,SensorCama (2),True,
20200101,28802,SensorSofa (1),False,
20200101,28802,SensorPia,False,
20200101,28802,SensorMesaJantar (2),False,
20200101,28802,SensorRack,False,
20200101,28802,SensorCama (1),False,
20200101,28802,SensorArmario,True,
20200101,28802,SensorRack (1),False,
20200101,28802,SensorArmario (1),True,
20200101,28802,SensorGeladeira,False,
20200101,28802,SensorMesaJantar (1),False,
20200101,28802,SensorSofa (2),False,
20200101,28802,SensorCama (3),False,
20200101,28802,SensorMesaCorredor,False,
20200101,28802,SensorSofa,False,
20200101,28802,SensorDeTestes,False,
20200101,28827,SensorBaseBox,False,
20200101,28827,SensorArmario (2),False,
20200101,28827,SensorCama,False,
20200101,28827,SensorFogao,False,
20200101,28827,SensorMesaJantar (4),False,
20200101,28827,SensorCama (4),False,
20200101,28827,SensorMesaJantar (3),False,
20200101,28827,SensorCama (5),False,
20200101,28827,SensorMesaJantar,False,
20200101,28827,SensorCama (2),True,
20200101,28827,SensorSofa (1),False,
20200101,28827,SensorPia,False,
20200101,28827,SensorMesaJantar (2),False,
20200101,28827,SensorRack,False,
20200101,28827,SensorCama (1),False,
20200101,28827,SensorArmario,True,
20200101,28827,SensorRack (1),False,
20200101,28827,SensorArmario (1),True,
20200101,28827,SensorGeladeira,False,
20200101,28827,SensorMesaJantar (1),False,
20200101,28827,SensorSofa (2),False,
20200101,28827,SensorCama (3),False,
20200101,28827,SensorMesaCorredor,False,
20200101,28827,SensorSofa,False,
20200101,28827,SensorDeTestes,False,
20200101,28857,SensorBaseBox,False,
20200101,28857,SensorArmario (2),False,
20200101,28857,SensorCama,False,
20200101,28857,SensorFogao,False,
20200101,28857,SensorMesaJantar (4),False,
20200101,28857,SensorCama (4),False,
20200101,28857,SensorMesaJantar (3),False,
20200101,28857,SensorCama (5),False,
20200101,28857,SensorMesaJantar,False,
20200101,28857,SensorCama (2),True,
20200101,28857,SensorSofa (1),False,
20200101,28857,SensorPia,False,
20200101,28857,SensorMesaJantar (2),False,
20200101,28857,SensorRack,False,
20200101,28857,SensorCama (1),False,
20200101,28857,SensorArmario,True,
20200101,28857,SensorRack (1),False,
20200101,28857,SensorArmario (1),True,
20200101,28857,SensorGeladeira,False,
20200101,28857,SensorMesaJantar (1),False,
20200101,28857,SensorSofa (2),False,
20200101,28857,SensorCama (3),False,
20200101,28857,SensorMesaCorredor,False,
20200101,28857,SensorSofa,False,
20200101,28857,SensorDeTestes,False,
20200101,28887,SensorBaseBox,False,
20200101,28887,SensorArmario (2),False,
20200101,28887,SensorCama,False,
20200101,28887,SensorFogao,False,
20200101,28887,SensorMesaJantar (4),False,
20200101,28887,SensorCama (4),False,
20200101,28887,SensorMesaJantar (3),False,
20200101,28887,SensorCama (5),False,
20200101,28887,SensorMesaJantar,False,
20200101,28887,SensorCama (2),True,
20200101,28887,SensorSofa (1),False,
20200101,28887,SensorPia,False,
20200101,28887,SensorMesaJantar (2),False,
20200101,28887,SensorRack,False,
20200101,28887,SensorCama (1),False,
20200101,28887,SensorArmario,True,
20200101,28887,SensorRack (1),False,
20200101,28887,SensorArmario (1),True,
20200101,28887,SensorGeladeira,False,
20200101,28887,SensorMesaJantar (1),False,
20200101,28887,SensorSofa (2),False,
20200101,28887,SensorCama (3),False,
20200101,28887,SensorMesaCorredor,False,
20200101,28887,SensorSofa,False,
20200101,28887,SensorDeTestes,False,
20200101,28917,SensorBaseBox,False,
20200101,28917,SensorArmario (2),False,
20200101,28917,SensorCama,False,
20200101,28917,SensorFogao,False,
20200101,28917,SensorMesaJantar (4),False,
20200101,28917,SensorCama (4),False,
20200101,28917,SensorMesaJantar (3),False,
20200101,28917,SensorCama (5),False,
20200101,28917,SensorMesaJantar,False,
20200101,28917,SensorCama (2),True,
20200101,28917,SensorSofa (1),False,
20200101,28917,SensorPia,False,
20200101,28917,SensorMesaJantar (2),False,
20200101,28917,SensorRack,False,
20200101,28917,SensorCama (1),False,
20200101,28917,SensorArmario,True,
20200101,28917,SensorRack (1),False,
20200101,28917,SensorArmario (1),True,
20200101,28917,SensorGeladeira,False,
20200101,28917,SensorMesaJantar (1),False,
20200101,28917,SensorSofa (2),False,
20200101,28917,SensorCama (3),False,
20200101,28917,SensorMesaCorredor,False,
20200101,28917,SensorSofa,False,
20200101,28917,SensorDeTestes,False,
20200101,28947,SensorBaseBox,False,
20200101,28947,SensorArmario (2),False,
20200101,28947,SensorCama,False,
20200101,28947,SensorFogao,False,
20200101,28947,SensorMesaJantar (4),False,
20200101,28947,SensorCama (4),False,
20200101,28947,SensorMesaJantar (3),False,
20200101,28947,SensorCama (5),False,
20200101,28947,SensorMesaJantar,False,
20200101,28947,SensorCama (2),True,
20200101,28947,SensorSofa (1),False,
20200101,28947,SensorPia,False,
20200101,28947,SensorMesaJantar (2),False,
20200101,28947,SensorRack,False,
20200101,28947,SensorCama (1),False,
20200101,28947,SensorArmario,True,
20200101,28947,SensorRack (1),False,
20200101,28947,SensorArmario (1),True,
20200101,28947,SensorGeladeira,False,
20200101,28947,SensorMesaJantar (1),False,
20200101,28947,SensorSofa (2),False,
20200101,28947,SensorCama (3),False,
20200101,28947,SensorMesaCorredor,False,
20200101,28947,SensorSofa,False,
20200101,28947,SensorDeTestes,False,
20200101,28977,SensorBaseBox,False,
20200101,28977,SensorArmario (2),False,
20200101,28977,SensorCama,False,
20200101,28977,SensorFogao,False,
20200101,28977,SensorMesaJantar (4),False,
20200101,28977,SensorCama (4),False,
20200101,28977,SensorMesaJantar (3),False,
20200101,28977,SensorCama (5),False,
20200101,28977,SensorMesaJantar,False,
20200101,28977,SensorCama (2),True,
20200101,28977,SensorSofa (1),False,
20200101,28977,SensorPia,False,
20200101,28977,SensorMesaJantar (2),False,
20200101,28977,SensorRack,False,
20200101,28977,SensorCama (1),False,
